text1,Tactic
Donut can generate shellcode outputs that execute via VBScript.,Execution
"During C0015, the threat actors used a malicious HTA file that contained a mix of HTML and JavaScript/VBScript code.",Execution
"During Frankenstein, the threat actors used Word documents that prompted the victim to enable macros and run a Visual Basic script.",Execution
"During Operation CuckooBees, the threat actors executed an encoded VBScript file using `wscript` and wrote the decoded output to a text file.",Execution
"During Operation Dust Storm, the threat actors used Visual Basic scripts.",Execution
"During Operation Sharpshooter, the threat actors used a VBA macro to execute a simple downloader that installed Rising Sun.",Execution
Earth Lusca used VBA scripts.,Execution
Emotet has sent Microsoft Word documents with embedded macros that will invoke scripts to download additional payloads.,Execution
FIN4 has used VBA macros to display a dialog box and collect victim credentials.,Execution
Ferocious has the ability to use Visual Basic scripts for execution.,Execution
Flagpro can execute malicious VBA macros embedded in .xlsm files.,Execution
"For Operation Honeybee, the threat actors used a Visual Basic script embedded within a Word document to download an implant.",Execution
"Gamaredon Group has embedded malicious macros in document templates, which executed VBScript. Gamaredon Group has also delivered Microsoft Outlook VBA projects with embedded macros.",Execution
Goopy has the ability to use a Microsoft Outlook backdoor macro to communicate with its C2.,Execution
Grandoreiro can use VBScript to execute malicious code.,Execution
Honeybee embeds a Visual Basic script within a malicious Word document as part of initial access; the script is executed when the Word document is opened.,Execution
IcedID has used obfuscated VBA string expressions.,Execution
Inception has used VBScript to execute malicious commands and payloads.,Execution
JCry has used VBS scripts.,Execution
JSS Loader can download and execute VBScript files.,Execution
Javali has used embedded VBScript to download malicious payloads from C2.,Execution
KOCTOPUS has used VBScript to call wscript to execute a PowerShell command.,Execution
Kimsuky has used Visual Basic to download malicious payloads. Kimsuky has also used malicious VBA macros within maldocs disguised as forms that trigger when a victim types any content into the lure.,Execution
Koadic performs most of its operations using Windows Script Host (VBScript) and runs arbitrary shellcode .,Execution
Lazarus Group has used VBA and embedded macros in Word documents to execute malicious code.,Execution
Lazarus Group has used VBScript to gather information about a victim machine.,Execution
Lokibot has used VBS scripts and XLS macros for execution.,Execution
LookBack has used VBA macros in Microsoft Word attachments to drop additional files to the host.,Execution
Machete has embedded malicious macros within spearphishing attachments to download additional files.,Execution
Magic Hound malware has used VBS scripts for execution.,Execution
Melcoz can use VBS scripts to execute malicious DLLs.,Execution
Metamorfo has used VBS code on victims’ systems.,Execution
"MuddyWater has used VBScript files to execute its POWERSTATS payload, as well as macros.",Execution
NETWIRE has been executed through use of VBScripts.,Execution
NanHaiShu executes additional VBScript code on the victim's machine.,Execution
NanoCore uses VBS files.,Execution
OSX_OCEANLOTUS.D uses Word macros for execution.,Execution
OilRig has used VBSscipt macros for execution on compromised hosts.,Execution
One version of Helminth consists of VBScript scripts.,Execution
OopsIE creates and uses a VBScript as part of its persistent execution.,Execution
Operation Wocao has used a VBScript to conduct reconnaissance on targeted systems.,Execution
POWERSTATS can use VBScript (VBE) code for execution.,Execution
Patchwork used Visual Basic Scripts (VBS) on victim machines.,Execution
Pteranodon can use a malicious VBS file for execution.,Execution
QUADAGENT uses VBScripts.,Execution
REvil has used obfuscated VBA macros for execution.,Execution
Ramsay has included embedded Visual Basic scripts in malicious documents.,Execution
Rancor has used VBS scripts as well as embedded macros for execution.,Execution
Remexi uses AutoIt and VBS scripts throughout its execution process.,Execution
SUNBURST used VBScripts to initiate the execution of payloads.,Execution
Saint Bot has used `.vbs` scripts for execution.,Execution
Sibot executes commands using VBScript.,Execution
Sidewinder has used VBScript to drop and execute malware loaders.,Execution
Silence has used VBS scripts.,Execution
Smoke Loader adds a Visual Basic script in the Startup folder to deploy the payload.,Execution
StoneDrill has several VBS scripts used throughout the malware's lifecycle.,Execution
TA459 has a VBScript for execution.,Execution
TA505 has used VBS for code execution.,Execution
TYPEFRAME has used a malicious Word document for delivery with VBA macros for execution.,Execution
Transparent Tribe has crafted VBS-based malicious documents.,Execution
Turla has used VBS scripts throughout its operations.,Execution
Ursnif droppers have used VBA macros to download and execute the malware's full executable payload.,Execution
WIRTE has used VBScript  in its operations.,Execution
WhisperGate can use a Visual Basic script to exclude the `C:\` drive from Windows Defender.,Execution
Windshift has used Visual Basic 6 (VB6) payloads.,Execution
jRAT has been distributed as HTA files with VBScript.,Execution
APT29 has developed malware variants written in Python.,Execution
APT37 has used Python scripts to execute payloads.,Execution
APT39 has used a command line utility and a network scanner written in python.,Execution
BRONZE BUTLER has made use of Python-based remote access tools.,Execution
Bundlore has used Python scripts to execute payloads.,Execution
Cobalt Strike can use Python to perform execution.,Execution
CoinTicker executes a Python script to download its second stage.,Execution
"CookieMiner has used python scripts on the user’s system, as well as the Python variant of the Empire agent, EmPyre.",Execution
"Dragonfly 2.0 used various types of scripting to perform operations, including Python scripts. The group was observed installing Python 2.7 on a victim.",Execution
"Dragonfly has used various types of scripting to perform operations, including Python scripts. The group was observed installing Python 2.7 on a victim.",Execution
DropBook is a Python-based backdoor compiled with PyInstaller.,Execution
"During Operation Wocao, threat actors' backdoors were written in Python and compiled with py2exe.",Execution
IronNetInjector can use IronPython scripts to load payloads with the help of a .NET injector.,Execution
KeyBoy uses Python scripts for installing files and performing execution.,Execution
Keydnap uses Python for scripting to execute additional commands.,Execution
Machete used multiple compiled Python scripts on the victim’s system. Machete's main backdoor Machete is also written in Python.,Execution
MechaFlounder uses a python-based payload.,Execution
MuddyWater has used developed tools in Python including Out1.,Execution
Operation Wocao's backdoors have been written in Python and compiled with py2exe.,Execution
PUNCHBUGGY has used python scripts.,Execution
"Pupy can use an add on feature when creating payloads that allows you to create custom Python scripts (“scriptlets”) to perform tasks offline (without requiring a session) such as sandbox detection, adding persistence, etc.",Execution
"PyDCrypt, along with its functions, is written in Python.",Execution
Pysa has used Python scripts to deploy ransomware.,Execution
Remcos uses Python scripts.,Execution
Rocke has used Python-based malware to install and spread their coinminer.,Execution
Small Sieve can use Python scripts to execute commands.,Execution
SpeakUp uses Python scripts.,Execution
"TRITON was run as trilog.exe, a Py2EXE compiled python script that accepts a single IP address as a flag.",Execution
Turian has the ability to use Python to spawn a Unix shell.,Execution
Turla has used IronPython scripts as part of the IronNetInjector toolchain to drop payloads.,Execution
ZIRCONIUM has used Python-based implants to interact with compromised hosts.,Execution
APT32 has used JavaScript for drive-by downloads and C2 communications.,Execution
AppleSeed has the ability to use JavaScript to execute PowerShell.,Execution
Astaroth uses JavaScript to perform its core functionalities.,Execution
Bundlore can execute JavaScript by injecting it into the victim's browser.,Execution
Chaes has used JavaScript and Node.Js information stealer script that exfiltrates data using the node process.,Execution
Cobalt Group has executed JavaScript scriptlets on the victim's machine.,Execution
"During C0015, the threat actors used a malicious HTA file that contained a mix of encoded HTML and JavaScript/VBScript code.",Execution
"During Operation Dust Storm, the threat actors used JavaScript code.",Execution
Earth Lusca has manipulated legitimate websites to inject malicious JavaScript code as part of their watering hole operations.,Execution
Ember Bear has used JavaScript to execute malicious code on a victim's machine.,Execution
EnvyScout can write files to disk with JavaScript using a modified version of the open-source tool FileSaver.,Execution
Evilnum has used malicious JavaScript files on the victim's machine.,Execution
FIN6 has used malicious JavaScript to steal payment card data from e-commerce sites.,Execution
Indrik Spider has used malicious JavaScript files for several components of their attack.,Execution
JSS Loader can download and execute JavaScript files.,Execution
KONNI has executed malicious JavaScript code.,Execution
LazyScripter has used JavaScript in its attacks.,Execution
Leafminer infected victims using JavaScript code.,Execution
Metamorfo includes payloads written in JavaScript.,Execution
"Molerats used various implants, including those built with JS, on target machines.",Execution
MuddyWater has used JavaScript files to execute its POWERSTATS payload.,Execution
NanHaiShu executes additional Jscript code on the victim's machine.,Execution
POWERSTATS can use JavaScript code for execution.,Execution
Sidewinder has used JavaScript to drop and execute malware loaders.,Execution
Silence has used JS scripts.,Execution
SpicyOmelette has the ability to execute arbitrary JavaScript code on a compromised host.,Execution
The Cobalt Strike System Profiler can use JavaScript to perform reconnaissance actions.,Execution
The QakBot web inject module can inject Java Script into web banking pages visited by the victim.,Execution
Turla has used various JavaScript-based backdoors.,Execution
Valak can execute JavaScript containing configuration data for establishing persistence.,Execution
Xbash can execute malicious JavaScript payloads on the victim’s machine.,Execution
jRAT has been distributed as HTA files with JScript.,Execution
"APT28 has exploited CVE-2014-4076, CVE-2015-2387, CVE-2015-1701, CVE-2017-0263 to escalate privileges.",Privilege Escalation
APT29 has exploited CVE-2021-36934 to escalate privileges on a compromised host.,Privilege Escalation
APT32 has used CVE-2016-7255 to escalate privileges.,Privilege Escalation
"Carberp has exploited multiple Windows vulnerabilities (CVE-2010-2743, CVE-2010-3338, CVE-2010-4398, CVE-2008-1084) and a .NET Runtime Optimization vulnerability for privilege escalation.",Privilege Escalation
Empire can exploit vulnerabilities such as MS16-032 and MS16-135.,Privilege Escalation
Hildegard has used the BOtB tool which exploits CVE-2019-5736.,Privilege Escalation
InvisiMole has exploited CVE-2007-5633 vulnerability in the speedfan.sys driver to obtain kernel mode privileges.,Privilege Escalation
JHUHUGIT has exploited CVE-2015-1701 and CVE-2015-2387 to escalate privileges.,Privilege Escalation
"LAPSUS$ has exploited unpatched vulnerabilities on internally accessible servers including JIRA, GitLab, and Confluence for privilege escalation.",Privilege Escalation
PLATINUM has leveraged a zero-day vulnerability to escalate privileges.,Privilege Escalation
Pandora can use CVE-2017-15303 to bypass Windows Driver Signature Enforcement (DSE) protection and load its driver.,Privilege Escalation
PoshC2 contains modules for local privilege escalation exploits such as CVE-2016-9192 and CVE-2016-0099.,Privilege Escalation
Siloscape has leveraged a vulnerability in Windows containers to perform an Escape to Host.,Privilege Escalation
Tonto Team has exploited CVE-2019-0803 and MS16-032 to escalate privileges.,Privilege Escalation
Whitefly has used an open-source tool to exploit a known Windows privilege escalation vulnerability (CVE-2016-0051) on unpatched computers.,Privilege Escalation
Wingbird exploits CVE-2016-4117 to allow an executable to gain escalated privileges.,Privilege Escalation
ZIRCONIUM has exploited CVE-2017-0005 for local privilege escalation.,Privilege Escalation
Zox has the ability to leverage local and remote exploits to escalate privileges.,Privilege Escalation
"APT29 temporarily replaced legitimate utilities with their own, executed their payload, and then restored the original file.",Defense Evasion
APT29 used SDelete to remove artifacts from victims.,Defense Evasion
Bankshot deletes all artifacts associated with the malware from the infected machine.,Defense Evasion
Bazar's loader can delete scheduled tasks created by a previous instance of the malware.,Defense Evasion
"BlackEnergy has removed the watermark associated with enabling the ""TESTSIGNING"" boot configuration option by removing the relevant strings in the ""user32.dll.mui"" of the system.",Defense Evasion
Donut can erase file references to payloads in-memory after being reflectively loaded and executed.,Defense Evasion
"Dragonfly deleted system, security, terminal services, remote services, and audit logs from a victim.",Defense Evasion
"EVILNUM has a function called ""DeleteLeftovers"" to remove certain artifacts of the attack.",Defense Evasion
Flagpro can close specific Windows Security and Internet Explorer dialog boxes to mask external connections.,Defense Evasion
Goopy has the ability to delete emails used for C2 once the content has been copied.,Defense Evasion
GrimAgent can delete previously created tasks on a compromised host.,Defense Evasion
HermeticWiper can disable pop-up information about folders and desktop items and delete Registry keys to hide malicious services.,Defense Evasion
KOCTOPUS can delete created registry keys as part of its cleanup procedure.,Defense Evasion
Lazarus Group has restored malicious KernelCallbackTable code to its original state after the process execution flow has been hijacked.,Defense Evasion
"Maze has used the “Wow64RevertWow64FsRedirection” function following attempts to delete the shadow volumes, in order to leave the system in the same state as it was prior to redirection.",Defense Evasion
"Metamorfo has a command to delete a Registry key it uses, ""\Software\Microsoft\Internet Explorer\notes"".",Defense Evasion
Misdat is capable of deleting Registry keys used for persistence.,Defense Evasion
Neoichor can clear the browser history on a compromised host by changing the `ClearBrowsingHistoryOnExit` value to 1 in the `HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\Privacy` Registry key.,Defense Evasion
Orz can overwrite Registry settings to reduce its visibility on the victim.,Defense Evasion
Pillowmint can uninstall the malicious service from an infected machine.,Defense Evasion
RTM has the ability to remove Registry entries that it created during execution.,Defense Evasion
Rising Sun can clear a memory blog in the process by overwriting it with junk bytes.,Defense Evasion
S-Type has deleted accounts it has created.,Defense Evasion
SDBbot has the ability to clean up and remove data structures from a compromised host.,Defense Evasion
"SILENTTRINITY can remove artifacts from the compromised host, including created Registry keys.",Defense Evasion
ShadowPad has deleted arbitrary Registry values.,Defense Evasion
Sibot will delete an associated registry key if a certain server response is received.,Defense Evasion
"UNC2452 removed evidence of email export requests using ""Remove-MailboxExportRequest"". They temporarily replaced legitimate utilities with their own, executed their payload, and then restored the original file.",Defense Evasion
njRAT is capable of manipulating and deleting registry keys.,Defense Evasion
"APT28 has cleared event logs, including by using the commands ""wevtutil cl System"" and ""wevtutil cl Security"".",Defense Evasion
APT32 has cleared select event log entries.,Defense Evasion
APT38 clears Window Event logs and Sysmon logs from the system.,Defense Evasion
APT41 attempted to remove evidence of some of its activity by clearing Windows security and system events.,Defense Evasion
"Dragonfly 2.0 cleared Windows event logs and other logs produced by tools they used, including system, security, terminal services, remote services, and audit logs. The actors also deleted specific Registry keys.",Defense Evasion
"Dragonfly has cleared Windows event logs and other logs produced by tools they used, including system, security, terminal services, remote services, and audit logs. The actors also deleted specific Registry keys.",Defense Evasion
"During Operation Wocao, the threat actors deleted all Windows system and security event logs using `/Q /c wevtutil cl system` and `/Q /c wevtutil cl security`.",Defense Evasion
FIN5 has cleared event logs from victims.,Defense Evasion
FIN8 has cleared logs during post compromise cleanup activities.,Defense Evasion
"FinFisher clears the system event logs using "" OpenEventLog/ClearEventLog APIs "".",Defense Evasion
HermeticWizard has the ability to use `wevtutil cl system` to clear event logs.,Defense Evasion
Hydraq creates a backdoor through which remote attackers can clear all system event logs.,Defense Evasion
Indrik Spider has used Cobalt Strike to empty log files.,Defense Evasion
"KillDisk deletes Application, Security, Setup, and System Windows Event Logs.",Defense Evasion
Lucifer can clear and remove event logs.,Defense Evasion
"Meteor can use Wevtutil to remove Security, System and Application Event Viewer logs.",Defense Evasion
"NotPetya uses ""wevtutil"" to clear the Windows event logs.",Defense Evasion
"Olympic Destroyer will attempt to clear the System and Security event logs using ""wevtutil"".",Defense Evasion
Operation Wocao has deleted Windows Event Logs to hinder forensic investigation.,Defense Evasion
Pupy has a module to clear event logs with PowerShell.,Defense Evasion
RunningRAT contains code to clear event logs.,Defense Evasion
The BlackEnergy component KillDisk is capable of deleting Windows Event Logs.,Defense Evasion
ZxShell has a command to clear system event logs.,Defense Evasion
MacMa can clear possible malware traces such as application logs.,Defense Evasion
"Proton removes logs from ""/var/logs"" and ""/Library/logs"".",Defense Evasion
"TeamTNT has removed system logs from ""/var/log/syslog"".",Defense Evasion
APT41 attempted to remove evidence of some of its activity by deleting Bash histories.,Defense Evasion
Hildegard has used history -c to clear script shell logs.,Defense Evasion
Kobalos can remove all command history on compromised hosts.,Defense Evasion
"Lazarus Group has routinely deleted log files on a compromised router, including automatic log deletion through the use of the logrotate utility.",Defense Evasion
Magic Hound has removed mailbox export requests from compromised Exchange servers.,Defense Evasion
"TeamTNT has cleared command history with ""history -c"".",Defense Evasion
A menuPass macro deletes files after it has decoded and decompressed them.,Defense Evasion
ADVSTORESHELL can delete files and directories.,Defense Evasion
APT18 actors deleted tools and batch files from victim systems.,Defense Evasion
"APT28 has intentionally deleted computer files to cover their tracks, including with use of the program CCleaner.",Defense Evasion
"APT29 routinely removed their tools, including custom backdoors, once remote access was achieved. APT29 has also used SDelete to remove artifacts from victims.",Defense Evasion
APT3 has a tool that can delete files.,Defense Evasion
APT32's macOS backdoor can receive a “delete” command.,Defense Evasion
"APT38 has used a utility called CLOSESHAVE that can securely delete a file from the system. They have also removed malware, tools, or other non-native files used during the intrusion to reduce their footprint or as part of the post-intrusion cleanup process.",Defense Evasion
APT39 has used malware to delete files after they are deployed on a compromised host.,Defense Evasion
"After encrypting its own log files, the log encryption module in Prikormka deletes the original, unencrypted files from the host.",Defense Evasion
Anchor can self delete its dropper after the malware is successfully deployed.,Defense Evasion
AppleJeus has deleted the MSI file after installation.,Defense Evasion
Aquatic Panda has deleted malicious executables from compromised machines.,Defense Evasion
Aria-body has the ability to delete files and directories on compromised hosts.,Defense Evasion
AuditCred can delete files from the system.,Defense Evasion
Azorult can delete files from victim machines.,Defense Evasion
BBSRAT can delete files and directories.,Defense Evasion
BLINDINGCAN has deleted itself and associated artifacts from victim machines.,Defense Evasion
BLUELIGHT can uninstall itself.,Defense Evasion
BabyShark has cleaned up all files associated with the secondary payload execution.,Defense Evasion
Backdoor.Oldrea contains a cleanup module that removes traces of itself from the victim.,Defense Evasion
Bandook has a command to delete a file.,Defense Evasion
Bankshot marks files to be deleted upon the next system reboot and uninstalls and removes itself from the system.,Defense Evasion
Bumblebee can uninstall its loader through the use of a `Sdl` command.,Defense Evasion
CARROTBAT has the ability to delete downloaded files from a compromised host.,Defense Evasion
CSPY Downloader has the ability to self delete.,Defense Evasion
"Calisto has the capability to use ""rm -rf"" to remove folders and files from the victim's machine.",Defense Evasion
"Cardinal RAT can uninstall itself, including deleting its executable.",Defense Evasion
CharmPower can delete created files from a compromised system.,Defense Evasion
Chimera has performed file deletion to evade detection.,Defense Evasion
Crimson has the ability to delete files from a compromised host.,Defense Evasion
"Cuba can use the command ""cmd.exe /c del"" to delete its artifacts from the system.",Defense Evasion
DanBot can delete its configuration file after installation.,Defense Evasion
DarkWatchman has been observed deleting its original launcher after installation.,Defense Evasion
"Dragonfly 2.0 deleted many of its files used during operations as part of cleanup, including removing applications and deleting screenshots.",Defense Evasion
"Dragonfly has deleted many of its files used during operations as part of cleanup, including removing applications and deleting screenshots.",Defense Evasion
Drovorub can delete specific files from a compromised host.,Defense Evasion
Dtrack can remove its persistence and delete itself.,Defense Evasion
"During Operation Honeybee, the threat actors used batch files that reduced their fingerprint on a compromised system by deleting malware-related files.",Defense Evasion
"During Operation Wocao, the threat actors consistently removed traces of their activity by first overwriting a file using `/c cd /d c:\windows\temp\ & copy \\<IP ADDRESS>\c$\windows\system32\devmgr.dll \\<IP ADDRESS>\c$\windows\temp\LMAKSW.ps1 /y` and then deleting the overwritten file using `/c cd /d c:\windows\temp\ & del \\<IP ADDRESS>\c$\windows\temp\LMAKSW.ps1`.",Defense Evasion
DustySky can delete files it creates from the infected system.,Defense Evasion
"ECCENTRICBANDWAGON can delete log files generated from the malware stored at ""C:\windows\temp\tmp0207"".",Defense Evasion
EvilBunny has deleted the initial dropper after running through the environment checks.,Defense Evasion
Evilnum has deleted files used during infection.,Defense Evasion
Exaramel for Linux can uninstall its persistence mechanism and delete its configuration file.,Defense Evasion
FELIXROOT deletes the .LNK file from the startup directory as well as the dropper components.,Defense Evasion
FIN10 has used batch scripts and scheduled tasks to delete critical system files.,Defense Evasion
FIN5 uses SDelete to clean up the environment and attempt to prevent detection.,Defense Evasion
FIN6 has removed files from victim machines.,Defense Evasion
FIN8 has deleted tmp and prefetch files during post compromise cleanup activities.,Defense Evasion
FatDuke can secure delete its DLL.,Defense Evasion
Ferocious can delete files from a compromised host.,Defense Evasion
FlawedAmmyy can execute batch scripts to delete files.,Defense Evasion
FruitFly will delete files on the system.,Defense Evasion
Fysbis has the ability to delete files.,Defense Evasion
Gamaredon Group tools can delete files used during an operation.,Defense Evasion
Gazer has commands to delete files and persistence mechanisms from the victim.,Defense Evasion
Gelsemium can delete its dropper component from the targeted system.,Defense Evasion
"Gold Dragon deletes one of its files, 2.hwp, from the endpoint after establishing persistence.",Defense Evasion
Green Lambert can delete the original executable after initial installation in addition to unused functions.,Defense Evasion
GreyEnergy can securely delete a file by hooking into the DeleteFileA and DeleteFileW functions in the Windows API.,Defense Evasion
GrimAgent can delete old binaries on a compromised host.,Defense Evasion
HALFBAKED can delete a specified file.,Defense Evasion
HAWKBALL has the ability to delete files.,Defense Evasion
"Hancitor has deleted files using the VBA ""kill"" function.",Defense Evasion
HermeticWiper has the ability to overwrite its own file with random bites.,Defense Evasion
Hi-Zor deletes its RAT installer file as it executes its DLL payload file.,Defense Evasion
Hildegard has deleted scripts after execution.,Defense Evasion
"HotCroissant has the ability to clean up installed files, delete files, and delete itself from the victim’s machine.",Defense Evasion
Hydraq creates a backdoor through which remote attackers can delete files.,Defense Evasion
HyperBro has the ability to delete a specified file.,Defense Evasion
IceApple can delete files and directories from targeted systems.,Defense Evasion
Imminent Monitor has deleted files related to its dynamic debugger feature.,Defense Evasion
InnaputRAT has a command to delete files.,Defense Evasion
InvisiMole has deleted files and directories including XML and files successfully uploaded to C2 servers.,Defense Evasion
Ixeshe has a command to delete a file from the machine.,Defense Evasion
JPIN's installer/uninstaller component deletes itself if it encounters a version of Windows earlier than Windows XP or identifies security-related processes running.,Defense Evasion
KONNI can delete files.,Defense Evasion
Kevin can delete files created on the victim's machine.,Defense Evasion
KillDisk has the ability to quit and delete itself.,Defense Evasion
Kimsuky has deleted the exfiltrated data on disk after transmission. Kimsuky has also used an instrumentor script to terminate browser processes running on an infected system and then delete the cookie files on disk.,Defense Evasion
LightNeuron has a function to delete files.,Defense Evasion
Linfo creates a backdoor through which remote attackers can delete files.,Defense Evasion
LiteDuke can securely delete files by first writing random data to the file.,Defense Evasion
LockerGoga has been observed deleting its original launcher after execution.,Defense Evasion
LookBack removes itself after execution and can delete files on the system.,Defense Evasion
MURKYTOP has the capability to delete local files.,Defense Evasion
MacMa can delete itself from the compromised computer.,Defense Evasion
MacSpy deletes any temporary files it creates,Defense Evasion
Metamorfo has deleted itself from the system after execution.,Defense Evasion
"Meteor will delete the folder containing malicious scripts if it detects the hostname as `PIS-APP`, `PIS-MOB`, `WSUSPROXY`, or `PIS-DB`.",Defense Evasion
Milan can delete files via `C:\Windows\system32\cmd.exe /c ping 1.1.1.1 -n 1 -w 3000 > Nul & rmdir /s /q`.,Defense Evasion
Misdat is capable of deleting the backdoor file.,Defense Evasion
MoonWind can delete itself or specified files.,Defense Evasion
Mosquito deletes files using DeleteFileW API call.,Defense Evasion
"Mustang Panda will delete their tools and files, and kill processes after their objectives are reached.",Defense Evasion
NOKKI can delete files to cover tracks.,Defense Evasion
Nebulae has the ability to delete files and directories.,Defense Evasion
OSX_OCEANLOTUS.D has a command to delete a file from the system. OSX_OCEANLOTUS.D deletes the app bundle and dropper after execution.,Defense Evasion
OceanSalt can delete files from the system.,Defense Evasion
OilRig has deleted files associated with their payload after execution.,Defense Evasion
Okrum's backdoor deletes files after they have been successfully uploaded to C2 servers.,Defense Evasion
"Once a file is uploaded, Machete will delete it from the machine.",Defense Evasion
OutSteel can delete itself following the successful execution of a follow-on payload.,Defense Evasion
P.A.S. Webshell can delete scripts from a subdirectory of /tmp after they are run.,Defense Evasion
PLEAD has the ability to delete files on the compromised host.,Defense Evasion
PUNCHBUGGY can delete files written to disk.,Defense Evasion
Pasam creates a backdoor through which remote attackers can delete files.,Defense Evasion
Pay2Key can remove its log file from disk.,Defense Evasion
PcShare has deleted its files and components from a compromised host.,Defense Evasion
Penquin can delete downloaded executables after running them.,Defense Evasion
PoetRAT has the ability to overwrite scripts and delete itself if a sandbox environment is detected.,Defense Evasion
Pony has used scripts to delete itself after execution.,Defense Evasion
ProLock can remove files containing its payload after they are executed.,Defense Evasion
Pteranodon can delete files that may interfere with it executing. It also can delete temporary files and itself after the initial script executes.,Defense Evasion
PyDCrypt will remove all created artifacts such as dropped executables.,Defense Evasion
Pysa has deleted batch files after execution.,Defense Evasion
QUADAGENT has a command to delete its Registry key and scheduled task.,Defense Evasion
QakBot can delete folders and files including overwriting its executable with legitimate programs.,Defense Evasion
RCSession can remove files from a targeted system.,Defense Evasion
RDAT can issue SOAP requests to delete already processed C2 emails. RDAT can also delete itself from the infected system.,Defense Evasion
RDFSNIFFER has the capability of deleting local files.,Defense Evasion
REvil can mark its binary code for deletion after reboot.,Defense Evasion
ROKRAT can request to delete files.,Defense Evasion
RTM can delete all files created during its execution.,Defense Evasion
RainyDay has the ability to uninstall itself by deleting its service and files.,Defense Evasion
Reaver deletes the original dropped file from the victim.,Defense Evasion
Recent versions of Cherry Picker delete files and registry keys created by the malware.,Defense Evasion
RedLeaves can delete specified files.,Defense Evasion
Rising Sun can delete files and artifacts it creates.,Defense Evasion
Rocke has deleted files on infected machines.,Defense Evasion
RunningRAT contains code to delete files from the victim’s machine.,Defense Evasion
S-Type has deleted files it has created on a compromised host.,Defense Evasion
SDBbot has the ability to delete files from a compromised host.,Defense Evasion
SILENTTRINITY can remove files from the compromised host.,Defense Evasion
SLOTHFULMEDIA has deleted itself and the 'index.dat' file on a compromised machine to remove recent Internet history from the system.,Defense Evasion
SQLRat has used been observed deleting scripts once used.,Defense Evasion
Saint Bot can run a batch script named `del.bat` to remove any Saint Bot payload-linked files from a compromise system if anti-analysis or locale checks fail.,Defense Evasion
SamSam has been seen deleting its own files and payloads to make analysis of the attack more difficult.,Defense Evasion
Sandworm Team has used backdoors that can delete files used in an attack from an infected system.,Defense Evasion
"SeaDuke can securely delete files, including deleting itself from the victim.",Defense Evasion
Seasalt has a command to delete a specified file.,Defense Evasion
ServHelper has a module to delete itself from the infected machine.,Defense Evasion
Shark can delete files downloaded to the compromised host.,Defense Evasion
"ShimRat can uninstall itself from compromised hosts, as well create and modify directories, delete, move, copy, and rename files.",Defense Evasion
"Silence has deleted artifacts, including scheduled tasks, communicates files from the C2 and other logs.",Defense Evasion
"SombRAT has the ability to run ""cancel"" or ""closeanddeletestorage"" to remove all files from storage and delete the storage temp file on a compromised host.",Defense Evasion
Some Sakula samples use cmd.exe to delete temporary files.,Defense Evasion
SpeakUp deletes files to remove evidence on the machine.,Defense Evasion
StoneDrill has been observed deleting the temporary files once they fulfill their task.,Defense Evasion
StrifeWater can self delete to cover its tracks.,Defense Evasion
Stuxnet uses an RPC server that contains a routine for file deletion and also removes itself from the system through a DLL export by deleting specific files.,Defense Evasion
SysUpdate can delete its configuration file from the targeted system.,Defense Evasion
TAINTEDSCRIBE can delete files from a compromised host.,Defense Evasion
TDTESS creates then deletes log files during installation of itself as a service.,Defense Evasion
"TEMP.Veles routinely deleted tools, logs, and other files after they were finished with them.",Defense Evasion
"Taidoor can use ""DeleteFileA"" to remove files from infected hosts.",Defense Evasion
TeamTNT has used a payload that removes itself after running. TeamTNT also has deleted locally staged files for collecting credentials or scan results for local IP addresses after exfiltrating them.,Defense Evasion
"The BRONZE BUTLER uploader or malware the uploader uses ""command"" to delete the RAR archives after they have been exfiltrated.",Defense Evasion
The JHUHUGIT dropper can delete itself from the victim. Another JHUHUGIT variant has the capability to delete specified files.,Defense Evasion
The Komplex trojan supports file deletion.,Defense Evasion
Threat Group-3390 has deleted existing logs and exfiltrated file archives from a victim.,Defense Evasion
Trojan.Karagany has used plugins with a self-delete capability.,Defense Evasion
Tropic Trooper has deleted dropper files on an infected system using command scripts.,Defense Evasion
"UNC2452 routinely removed their tools, including custom backdoors, once remote access was achieved.",Defense Evasion
Ursnif has deleted data staged in tmp files after exfiltration.,Defense Evasion
"VBShower has attempted to complicate forensic analysis by deleting all the files contained in ""%APPDATA%\..\Local\Temporary Internet Files\Content.Word"" and ""%APPDATA%\..\Local Settings\Temporary Internet Files\Content.Word\"".",Defense Evasion
VERMIN can delete files on the victim’s machine.,Defense Evasion
Volgmer can delete files and itself after infection to avoid analysis.,Defense Evasion
Wingbird deletes its payload along with the payload's parent process after it finishes copying files.,Defense Evasion
Winnti for Windows can delete the DLLs for its various components from a compromised host.,Defense Evasion
Wizard Spider has used file deletion to remove some modules and configurations from an infected host after use.,Defense Evasion
XAgentOSX contains the deletFileFromPath function to delete a specified file using the NSFileManager:removeFileAtPath method.,Defense Evasion
Zebrocy has a command to delete files and directories.,Defense Evasion
Zeus Panda has a command to delete a file. It also can uninstall scripts and delete files to cover its track.,Defense Evasion
ZxShell can delete files from the system.,Defense Evasion
ccf32 can delete files and folders from compromised machines.,Defense Evasion
cmd can be used to delete files from the file system.,Defense Evasion
gh0st RAT has the capability to to delete files.,Defense Evasion
